Query,ts,dport,count
yahoo,24,787,14
yahoo,42,787,5
yahoo,44,787,16
yahoo,45,787,18
yahoo,71,787,13
yahoo,84,787,6
yahoo,89,787,16
yahoo,97,787,3
www.ebay.com,40,31,1
www.hotmail.com,10,884,3
www.hotmail.com,10,884,3
www.hotmail.com,10,884,3
google,16,840,34
google,66,840,16
msn.com,32,679,2
horoscope,22,77,9
.com,48,746,2
google.com,18,621,6
google.com,18,621,6
google.com,67,621,8
google.com,67,621,8
google.com,93,621,6
ebay.com,69,1000,2
-,86,642,20
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
-,5,642,190
mapquest,42,475,2
google,31,840,4
google,31,840,4
google,32,840,11
mapquest,60,475,17
mapquest,60,475,17
mapquest,60,475,17
mapquest,60,475,17
mapquest,60,475,17
mapquest,60,475,17
mapquest,60,475,17
mapquest,61,475,13
www.google.com,10,244,6
www.google.com,10,244,6
www.google.com,12,244,1
.com,22,746,1
mapquest,89,475,6
www.yahoo.com,91,16,9
-,61,642,17
american idol,62,223,7
american idol,62,223,7
american idol,62,223,7
american idol,62,223,7
-,62,642,21
google.com,25,621,6
google.com,25,621,6
google.com,25,621,6
-,25,642,24
www.yahoo.com,49,16,3
www.yahoo.com,49,16,3
my space.com,49,718,1
-,73,642,11
google.com,74,621,1
google,24,840,25
google,24,840,25
orbitz,26,625,2
orbitz,26,625,2
-,73,642,11
bank of america,93,466,7
bank of america,93,466,7
google.com,96,621,11
google.com,96,621,11
google.com,96,621,11
google.com,96,621,11
google.com,96,621,11
internet,91,775,13
home depot,62,354,2
home depot,63,354,2
www.yahoo.com,12,16,6
www.google.com,43,244,1
google,97,840,8
google,98,840,9
irs,7,417,1
walmart,58,513,2
http,43,832,7
-,42,642,13
-,20,642,18
-,24,642,14
-,24,642,14
-,25,642,24
google,22,840,39
google,30,840,4
horoscope,23,77,4
internet,23,775,2
internet,31,775,6
internet,31,775,6
internet,31,775,6
internet,31,775,6
internet,31,775,6
internet,31,775,6
myspace,23,803,9
weather,65,808,1
mapquest,21,475,7
mapquest,22,475,11
bank of america,62,466,1
yahoo.com,92,190,8
yahoo,92,787,9
yahoo,19,787,11
google,20,840,30
yahoo.com,94,190,7
yahoo.com,94,190,7
www.google.com,18,244,5
.com,19,746,2
msn.com,95,679,2
ebay.com,19,1000,5
weather,86,808,3
hotmail,11,760,3
hotmail,11,760,3
hotmail,11,760,3
porn,66,233,5
porn,66,233,5
porn,66,233,5
porn,66,233,5
-,74,642,7
home depot,11,354,1
american idol,55,223,4
bankofamerica,22,305,4
bankofamerica,22,305,4
bank of america,23,466,1
google.com,23,621,8
google.com,23,621,8
google,68,840,28
google,68,840,28
google,68,840,28
dictionary,63,488,3
ebay,17,395,13
ebay,66,395,11
ebay,79,395,4
ebay,82,395,8
ebay,82,395,8
ebay,89,395,13
ebay,91,395,12
ebay,92,395,11
-,18,642,27
-,14,642,21
horoscopes,1,970,2
-,17,642,25
yahoo,12,787,5
yahoo,12,787,5
www.yahoo.com,19,16,6
www.yahoo.com,33,16,3
www.yahoo.com,34,16,3
yahoo.com,34,190,7
www.yahoo.com,38,16,1
yahoo,39,787,7
yahoo,55,787,2
yahoo,55,787,2
www.yahoo.com,70,16,4
yahoo.com,88,190,4
-,47,642,17
msn,1,382,2
msn,15,382,2
msn,16,382,1
msn,37,382,1
msn,39,382,3
msn,45,382,2
msn,45,382,2
msn,48,382,10
msn,63,382,2
msn,66,382,1
msn,67,382,2
msn,68,382,5
ebay,70,395,21
mapquest,70,475,7
msn,83,382,3
msn,86,382,6
http,19,832,1
my space,16,120,1
my space,24,120,2
my space,25,120,1
my space,28,120,1
my space,44,120,2
my space,46,120,4
my space,49,120,5
my space,64,120,2
my space,72,120,4
my space,75,120,2
my space,75,120,2
my space,76,120,1
my space,90,120,3
my space,90,120,3
my space,90,120,3
my space,97,120,3
-,68,642,24
www.google.com,24,244,3
google,41,840,32
google,81,840,14
pussy,62,548,2
pussy,62,548,2
pussy,71,548,1
-,61,642,17
-,18,642,27
bank of america,84,466,3
-,8,642,10
google,18,840,23
google,19,840,28
google,19,840,28
myspace,61,803,13
walmart,13,513,3
mapquest.com,12,451,3
ebay,12,395,5
horoscope,24,77,4
ebay,23,395,13
ebay,23,395,13
map quest,15,442,5
pogo,22,150,1
pogo,32,150,2
pogo,56,150,2
pogo,81,150,2
google,32,840,11
google,32,840,11
google,32,840,11
google,42,840,23
ebay,95,395,17
fidelity.com,20,554,2
ask jeeves,28,836,3
google.com,22,621,14
yahoo,25,787,12
-,92,642,34
google,26,840,10
-,14,642,21
-,19,642,16
-,91,642,27
-,91,642,27
-,14,642,21
google,14,840,15
hotmail.com,65,894,1
hotmail.com,94,894,2
ebay,17,395,13
ebay,42,395,9
dictionary,46,488,3
map quest,85,442,1
myspace.com,20,371,4
google,15,840,20
google,21,840,22
google,46,840,47
myspace layouts,39,609,5
myspace layouts,39,609,5
myspace layouts,39,609,5
myspace layouts,39,609,5
myspace layouts,39,609,5
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,11,609,34
myspace layouts,12,609,4
myspace layouts,12,609,4
myspace layouts,12,609,4
myspace layouts,12,609,4
american idol,1,223,1
american idol,46,223,9
american idol,47,223,6
american idol,73,223,1
mapquest,90,475,5
google,71,840,27
google,71,840,27
goggle,72,161,2
google,72,840,15
yahoo.com,65,190,9
yahoo.com,65,190,9
yahoo.com,65,190,9
yahoo.com,65,190,9
yahoo.com,81,190,7
www.yahoo.com,81,16,1
google,15,840,20
craigslist,62,449,1
craigslist,66,449,1
craigslist,67,449,3
craigslist,67,449,3
craigslist,84,449,2
craigslist,84,449,2
yahoo.com,10,190,4
yahoo.com,82,190,4
ebay,47,395,4
weather,10,808,6
weather,10,808,6
weather,10,808,6
weather,16,808,1
weather,35,808,3
weather,58,808,2
map quest,60,442,3
weather,68,808,1
weather,70,808,4
weather,79,808,1
myspace.com,16,371,1
myspace.com,17,371,9
myspace.com,17,371,9
myspace.com,17,371,9
myspace.com,17,371,9
myspace.com,17,371,9
myspace.com,17,371,9
myspace.com,17,371,9
myspace.com,19,371,8
myspace.com,19,371,8
myspace.com,32,371,1
myspace.com,40,371,5
myspace.com,40,371,5
myspace.com,41,371,6
myspace.com,44,371,8
myspace.com,44,371,8
myspace.com,44,371,8
myspace.com,47,371,5
myspace.com,47,371,5
myspace.com,47,371,5
myspace.com,64,371,4
myspace.com,90,371,5
myspace.com,90,371,5
myspace.com,90,371,5
myspace.com,93,371,4
myspace.com,96,371,6
myspace.com,84,371,3
www.google,88,179,2
-,67,642,17
-,72,642,22
www.yahoo.com,73,16,3
mapquest.com,19,451,2
mapquest,10,475,6
map quest,23,442,5
map quest,42,442,3
southwest airlines,18,24,1
southwest airlines,34,24,2
southwest airlines,43,24,1
walmart,84,513,1
target,84,79,1
home depot,84,354,1
ebay,68,395,11
dictionary,64,488,4
myspace,4,803,1
myspace,5,803,3
yahoo,2,787,8
yahoo,14,787,18
yahoo,14,787,18
yahoo,14,787,18
google,19,840,28
google.com,20,621,30
yahoo,23,787,12
yahoo,23,787,12
yahoo,23,787,12
yahoo,27,787,11
yahoo,37,787,6
yahoo,38,787,12
yahoo,50,787,6
yahoo,51,787,1
yahoo,72,787,7
yahoo,95,787,10
yahoo,95,787,10
yahoo,95,787,10
mapquest.com,34,451,1
.com,67,746,1
google.com,86,621,4
google.com,86,621,4
internet,22,775,3
-,92,642,34
yahoo,19,787,11
familywatchdog.us,92,496,1
.com,21,746,2
-,27,642,3
ebay,21,395,9
google,17,840,28
ask jeeves,17,836,5
ask jeeves,17,836,5
google,70,840,14
yahoo mail,22,793,5
yahoo mail,45,793,3
amazon.com,57,571,4
google.com,6,621,1
google,23,840,23
google,23,840,23
google.com,26,621,3
google.com,60,621,3
google.com,66,621,6
google.com,66,621,6
google,20,840,30
weather,22,808,15
google,22,840,39
-,94,642,16
-,94,642,16
ebay.com,60,1000,3
ebay.com,85,1000,1
www.myspace.com,22,365,5
www.myspace.com,22,365,5
southwest airlines,46,24,2
www.yahoo.com,18,16,6
www.yahoo.com,18,16,6
www.yahoo.com,18,16,6
www.yahoo.com,46,16,1
www.yahoo.com,47,16,5
www.yahoo.com,65,16,4
www.yahoo.com,86,16,2
www.yahoo.com,43,16,4
hotmail.com,64,894,5
ebay.com,22,1000,5
orbitz,15,625,1
orbitz,34,625,1
google,50,840,11
ebay,12,395,5
ebay,13,395,6
yahoo,34,787,7
www.google.com,75,244,1
-,38,642,19
southwest airlines,45,24,1
southwest airlines,46,24,2
southwest airlines,60,24,3
american idol,89,223,1
map quest,15,442,5
map quest,95,442,3
msn.com,50,679,2
msn.com,86,679,1
http,83,832,8
pogo,2,150,1
pogo,23,150,4
pogo,23,150,4
yahoo,32,787,7
pogo,89,150,2
pogo,91,150,4
pogo,94,150,3
ebay,15,395,9
www.yahoo.com,17,16,5
-,11,642,19
www.google,14,179,4
www.google,14,179,4
www.google,14,179,4
www.google,14,179,4
google.com,20,621,30
google.com,20,621,30
google.com,20,621,30
google.com,24,621,8
google.com,24,621,8
google.com,87,621,11
google.com,89,621,7
myspace,23,803,9
myspace,23,803,9
myspace,23,803,9
yahoo,11,787,7
yahoo,39,787,7
internet,14,775,5
my space,41,120,1
google,18,840,23
-,23,642,13
ebay.com,31,1000,2
ebay.com,89,1000,2
ebay.com,90,1000,5
ebay.com,90,1000,5
google,7,840,4
www.google.com,22,244,1
www.google.com,64,244,2
www.google.com,65,244,2
www.google.com,71,244,6
-,90,642,11
yahoo,11,787,7
yahoo,15,787,15
-,19,642,16
ebay,2,395,3
myspace,2,803,4
mapquest,11,475,3
google,11,840,12
google,11,840,12
ebay,23,395,13
internet,41,775,3
google.com,96,621,11
google.com,96,621,11
google.com,96,621,11
www.hotmail.com,48,884,2
www.hotmail.com,48,884,2
google,9,840,5
mapquest,33,475,6
google,85,840,33
yahoo,14,787,18
yahoo,14,787,18
yahoo,26,787,9
yahoo,26,787,9
yahoo,43,787,18
yahoo,43,787,18
yahoo,43,787,18
yahoo,43,787,18
yahoo,43,787,18
yahoo,43,787,18
yahoo,45,787,18
yahoo,45,787,18
yahoo,45,787,18
