Query,QueryT,QueryTime,Count
mapquest,mapquest1745,1745,8
google,google1841,1841,28
google,google1889,1889,33
-,-2127,2127,275
-,-829,829,15
-,-840,840,13
google,google474,474,43
google.com,google.com474,474,15
google.com,google.com524,524,6
google,google1046,1046,5
google,google1197,1197,38
google.com,google.com1247,1247,6
google.com,google.com1504,1504,9
google.com,google.com1507,1507,6
google.com,google.com1522,1522,1
google.com,google.com1814,1814,6
ebay,ebay250,250,11
yahoo,yahoo1090,1090,7
mapquest,mapquest1161,1161,3
mapquest,mapquest1168,1168,9
mapquest,mapquest1185,1185,3
mapquest,mapquest1208,1208,4
mapquest,mapquest1232,1232,3
mapquest,mapquest1544,1544,4
mapquest,mapquest1545,1545,5
-,-1976,1976,124
mapquest,mapquest2130,2130,5
google,google277,277,30
-,-2063,2063,370
-,-320,320,10
google,google523,523,37
-,-2130,2130,280
www.google.com,www.google.com751,751,3
-,-1221,1221,21
google,google98,98,9
google,google192,192,15
google,google303,303,15
google,google335,335,28
google,google336,336,21
google,google431,431,16
google,google441,441,15
google,google672,672,42
google,google696,696,22
google,google757,757,27
google,google839,839,21
google,google888,888,12
google,google920,920,8
google,google959,959,15
google,google984,984,25
google,google1007,1007,25
google,google1105,1105,16
google,google1128,1128,24
google,google1243,1243,9
google,google1248,1248,16
google,google1260,1260,19
google,google1265,1265,18
google,google1297,1297,13
google,google1345,1345,12
google,google1443,1443,5
google,google1451,1451,23
google,google1497,1497,6
google,google1502,1502,14
google,google1504,1504,8
google,google1506,1506,10
google,google1536,1536,21
google,google1561,1561,11
yahoo,yahoo1585,1585,10
google,google1585,1585,25
google,google1679,1679,25
google,google1705,1705,10
google,google1797,1797,47
google,google1847,1847,27
google,google1970,1970,7
-,-1971,1971,56
google,google1971,1971,3
google,google2040,2040,25
google,google2185,2185,8
yahoo,yahoo140,140,15
myspace.com,myspace.com1556,1556,6
myspace.com,myspace.com1605,1605,5
-,-1914,1914,246
mapquest,mapquest258,258,8
mapquest,mapquest539,539,10
mapquest,mapquest1808,1808,2
-,-2158,2158,467
-,-418,418,11
myspace.com,myspace.com1762,1762,2
mapquest,mapquest1233,1233,4
mapquest,mapquest1726,1726,8
google,google1732,1732,5
-,-1915,1915,270
-,-277,277,8
-,-420,420,20
mapquest,mapquest1907,1907,5
-,-14,14,21
google,google87,87,21
-,-96,96,16
google,google97,97,8
google,google189,189,24
google,google214,214,37
google,google237,237,23
google,google238,238,30
-,-289,289,5
google,google302,302,19
-,-350,350,11
google,google361,361,17
-,-365,365,3
google,google502,502,45
yahoo.com,yahoo.com502,502,5
-,-543,543,45
yahoo,yahoo645,645,20
-,-713,713,16
-,-934,934,7
google,google985,985,9
google,google1005,1005,34
google,google1055,1055,7
google,google1073,1073,7
google,google1082,1082,11
google,google1122,1122,13
google,google1152,1152,19
google,google1175,1175,32
-,-1175,1175,7
google,google1177,1177,11
google,google1195,1195,28
google,google1201,1201,20
google,google1221,1221,31
google,google1237,1237,11
google,google1242,1242,11
google,google1262,1262,16
google,google1266,1266,19
google,google1270,1270,31
google,google1298,1298,9
-,-1313,1313,19
google,google1318,1318,24
google,google1338,1338,18
google,google1357,1357,6
google,google1367,1367,40
google,google1414,1414,17
google,google1434,1434,32
google,google1465,1465,11
google,google1510,1510,34
google,google1534,1534,28
google,google1557,1557,28
google,google1577,1577,9
google,google1583,1583,33
google,google1630,1630,26
google,google1632,1632,22
google,google1654,1654,33
google,google1674,1674,30
google,google1811,1811,37
google,google1842,1842,37
google,google1909,1909,22
google,google1917,1917,22
google,google1962,1962,23
-,-2207,2207,1083
-,-2122,2122,153
-,-2053,2053,234
-,-2149,2149,296
-,-2194,2194,452
-,-2085,2085,288
google,google187,187,28
-,-2076,2076,242
mapquest,mapquest190,190,4
mapquest,mapquest455,455,6
mapquest,mapquest465,465,7
mapquest,mapquest623,623,7
-,-1967,1967,306
-,-2112,2112,290
-,-585,585,7
ebay,ebay69,69,8
ebay,ebay94,94,7
ebay,ebay95,95,17
yahoo.com,yahoo.com106,106,3
ebay,ebay119,119,13
ebay,ebay215,215,10
ebay,ebay241,241,14
ebay,ebay278,278,21
ebay,ebay280,280,13
ebay,ebay334,334,16
ebay,ebay377,377,11
ebay,ebay383,383,11
ebay,ebay401,401,8
ebay,ebay407,407,10
ebay,ebay421,421,7
ebay,ebay422,422,19
ebay,ebay445,445,5
ebay,ebay453,453,8
ebay,ebay462,462,1
ebay,ebay526,526,11
ebay,ebay736,736,8
-,-1898,1898,168
-,-1930,1930,159
-,-1935,1935,254
-,-1961,1961,286
-,-2079,2079,344
-,-2084,2084,300
-,-2090,2090,180
-,-1897,1897,255
-,-2163,2163,106
-,-2164,2164,94
yahoo.com,yahoo.com635,635,4
yahoo,yahoo635,635,6
mapquest,mapquest688,688,5
mapquest,mapquest689,689,14
-,-1022,1022,12
mapquest,mapquest1262,1262,13
-,-1330,1330,6
-,-2193,2193,205
yahoo.com,yahoo.com23,23,9
yahoo,yahoo163,163,14
yahoo.com,yahoo.com238,238,8
-,-375,375,13
yahoo.com,yahoo.com445,445,15
yahoo,yahoo475,475,20
yahoo,yahoo493,493,4
yahoo,yahoo592,592,9
yahoo,yahoo1147,1147,13
yahoo,yahoo1240,1240,3
yahoo,yahoo1256,1256,2
yahoo,yahoo1295,1295,9
yahoo.com,yahoo.com1309,1309,3
yahoo,yahoo1309,1309,1
yahoo,yahoo1337,1337,9
yahoo,yahoo1362,1362,6
yahoo,yahoo1363,1363,13
yahoo,yahoo1482,1482,3
yahoo,yahoo1507,1507,18
yahoo,yahoo1531,1531,16
yahoo,yahoo1555,1555,8
yahoo,yahoo1607,1607,16
yahoo,yahoo1679,1679,5
yahoo,yahoo1744,1744,2
yahoo,yahoo1746,1746,9
yahoo,yahoo1749,1749,13
yahoo,yahoo1763,1763,5
yahoo,yahoo1845,1845,12
yahoo,yahoo2096,2096,6
-,-838,838,23
-,-907,907,10
-,-953,953,11
-,-1417,1417,12
-,-68,68,24
yahoo,yahoo89,89,16
-,-794,794,6
yahoo,yahoo805,805,9
-,-1058,1058,5
google,google1126,1126,27
mapquest,mapquest721,721,3
google,google740,740,23
-,-2003,2003,146
-,-476,476,19
-,-2031,2031,209
-,-2054,2054,222
-,-2073,2073,99
-,-2074,2074,188
-,-2081,2081,333
-,-2141,2141,60
-,-2148,2148,291
-,-2175,2175,337
-,-2180,2180,376
-,-785,785,11
myspace.com,myspace.com15,15,5
google,google290,290,28
mapquest,mapquest684,684,14
mapquest,mapquest552,552,7
-,-1875,1875,96
-,-1889,1889,273
-,-1899,1899,86
-,-1939,1939,178
-,-1970,1970,122
-,-1983,1983,224
-,-2012,2012,309
-,-2018,2018,130
-,-2019,2019,109
-,-2030,2030,211
-,-2032,2032,191
-,-2042,2042,161
-,-2055,2055,416
-,-2091,2091,67
-,-2104,2104,294
-,-2114,2114,141
-,-2161,2161,208
-,-2162,2162,193
-,-2187,2187,132
mapquest,mapquest158,158,7
mapquest,mapquest180,180,4
mapquest,mapquest518,518,15
mapquest,mapquest878,878,4
-,-1073,1073,9
mapquest,mapquest1237,1237,11
myspace.com,myspace.com1768,1768,9
mapquest,mapquest1786,1786,3
yahoo,yahoo207,207,10
mapquest,mapquest1633,1633,2
ebay,ebay332,332,11
ebay,ebay547,547,12
ebay,ebay572,572,18
ebay,ebay644,644,13
mapquest,mapquest735,735,5
mapquest,mapquest825,825,4
ebay,ebay836,836,12
mapquest,mapquest957,957,11
mapquest,mapquest1807,1807,3
mapquest,mapquest2057,2057,2
google.com,google.com24,24,8
google.com,google.com120,120,7
google.com,google.com160,160,7
google,google169,169,18
google,google235,235,20
google.com,google.com236,236,6
google.com,google.com252,252,8
google.com,google.com265,265,5
google.com,google.com362,362,6
google.com,google.com445,445,4
google.com,google.com552,552,4
google.com,google.com621,621,10
google.com,google.com648,648,5
google.com,google.com696,696,8
google.com,google.com721,721,6
google.com,google.com818,818,4
google.com,google.com833,833,7
google.com,google.com865,865,4
google.com,google.com1608,1608,2
google.com,google.com1610,1610,6
google,google1849,1849,4
google,google1921,1921,17
google,google2013,2013,27
google,google2014,2014,36
google.com,google.com617,617,2
google,google501,501,28
-,-501,501,19
mapquest,mapquest573,573,7
-,-2041,2041,153
-,-19,19,16
-,-770,770,9
myspace.com,myspace.com912,912,6
myspace.com,myspace.com984,984,18
myspace.com,myspace.com1100,1100,4
-,-1723,1723,1
mapquest,mapquest1846,1846,6
mapquest,mapquest358,358,9
google,google1993,1993,29
-,-517,517,19
myspace,myspace692,692,8
myspace,myspace695,695,9
mapquest,mapquest1339,1339,5
myspace,myspace1930,1930,4
ebay,ebay2021,2021,3
google.com,google.com167,167,15
-,-1962,1962,223
yahoo.com,yahoo.com17,17,6
yahoo.com,yahoo.com19,19,15
yahoo.com,yahoo.com20,20,13
yahoo.com,yahoo.com141,141,13
yahoo.com,yahoo.com311,311,12
yahoo.com,yahoo.com327,327,6
google.com,google.com371,371,4
yahoo.com,yahoo.com476,476,7
yahoo.com,yahoo.com765,765,4
google,google790,790,23
yahoo.com,yahoo.com837,837,8
yahoo.com,yahoo.com857,857,5
www.google.com,www.google.com980,980,5
yahoo.com,yahoo.com1050,1050,4
yahoo.com,yahoo.com1072,1072,9
yahoo.com,yahoo.com1286,1286,4
yahoo.com,yahoo.com1291,1291,2
yahoo.com,yahoo.com1341,1341,8
yahoo.com,yahoo.com1390,1390,7
yahoo.com,yahoo.com1433,1433,2
yahoo.com,yahoo.com1508,1508,6
yahoo.com,yahoo.com1510,1510,9
google,google8,8,6
google,google32,32,11
google,google153,153,19
google,google200,200,16
google,google279,279,24
google,google296,296,18
google,google369,369,16
google,google537,537,6
google,google610,610,13
google,google632,632,8
google,google705,705,10
google,google728,728,3
google,google1832,1832,5
-,-1880,1880,105
-,-1881,1881,119
google,google1977,1977,6
-,-2000,2000,76
myspace,myspace209,209,7
google,google1702,1702,32
google,google1726,1726,19
mapquest,mapquest10,10,6
-,-2034,2034,284
-,-2050,2050,201
google,google1211,1211,19
